Character,Hex,Logic,Type,Name,Braille
שֵׁ,05E9+05B5+05C1,8.0,always,letter shin  dot and tsere,⠩⠌
שֶׁ,05E9+05B6+05C1,8.0,always,letter shin  dot and segol,⠩⠑
שַׁ,05E9+05B7+05C1,8.0,always,letter shin  with dot and patah,⠩⠉
שָׁ,05E9+05B8+05C1,8.0,always,letter shin  dot and qamats,⠩⠣
שֱׁ,05E9+05B1+05C1,8.0,always,letter shin  dot and hataf segol,⠩⠢
שֲׁ,05E9+05B2+05C1,8.0,always,letter shin  dot and hataf patah ,⠩⠒
שֳׁ,05E9+05B3+05C1,8.0,always,letter shin  dot and hataf qamats,⠩⠜
שׂ,05E9+05BC,214.0,always,letter sin,⠱
שִׂ,05E9+05B4+05BC,214.0,always,letter sin with hiriq,⠱⠊
שֵׂ,05E9+05B5+05C2,214.0,always,letter sin,⠱⠌
שֶׂ,05E9+05B6+05C2,214.0,always,letter sin,⠱⠑
שַׂ,05E9+05B7+05C2,214.0,always,letter sin,⠱⠉
שָׂ,05E9+05B8+05C2,214.0,always,letter sin with qamats,⠱⠣
שֱׂ,05E9+05B1+05C2,214.0,always,letter sin with hataf segol,⠱⠢
שֲׂ,05E9+05B2+05C2,214.0,always,letter sin with hataf patah,⠱⠒
שֳׂ,05E9+05B3+05C2,214.0,always,letter sin with hataf qamats,⠱⠜
שִׂ,05E9+05B4+05C2,214.0,always,letter sin with hiriq,⠱⠊
שֵׂ,05E9+05B5+05C2,214.0,always,letter sin with tsere,⠱⠌
שֶׂ,05E9+05B6+05C2,214.0,always,letter sin with segol,⠱⠑
שַׂ,05E9+05B7+05C2,214.0,always,letter sin with patah,⠱⠉
שָׂ,05E9+05B8+05C2,214.0,always,letter sin  qamats,⠱⠣
שֱׂ,05E9+05B1+05C2,214.0,always,letter sin  hataf segol,⠱⠢
שֲׂ,05E9+05B2+05C2,214.0,always,letter sin  hataf patah,⠱⠒
שֳׂ,05E9+05B3+05C2,214.0,always,letter sin  hataf qamats,⠱⠜
תּ,05EA+05BC,8.0,always,letter tav with dagesh,⠳
תִּ,05EA+05B4+05BC,8.0,always,letter tav  dagesh with hiriq,⠳⠊
