Character,Hex,Type,Name,Braille
𒂋,1208B,letter,CUNEIFORM SIGN E TIMES PAP,⠑⠡⠏⠁⠏
𒂌,1208C,letter,CUNEIFORM SIGN E OVER E NUN OVER NUN,⠑⠌⠑ ⠝⠥⠝⠌⠝⠥⠝
𒂍,1208D,letter,CUNEIFORM SIGN E2,⠑
𒂎,1208E,letter,CUNEIFORM SIGN E2 TIMES A PLUS HA PLUS DA,⠑⠡⠁⠬⠓⠁⠬⠙⠁
𒂏,1208F,letter,CUNEIFORM SIGN E2 TIMES GAR,⠑⠡⠛⠜
𒂐,12090,letter,CUNEIFORM SIGN E2 TIMES MI,⠑⠡⠍⠊
𒂑,12091,letter,CUNEIFORM SIGN E2 TIMES SAL,⠑⠡⠎⠁⠇
𒂒,12092,letter,CUNEIFORM SIGN E2 TIMES SHE,⠑⠡⠩⠑
𒂓,12093,letter,CUNEIFORM SIGN E2 TIMES U,⠑⠡⠥
𒂔,12094,letter,CUNEIFORM SIGN EDIN,⠑⠙⠊⠝
𒂕,12095,letter,CUNEIFORM SIGN EGIR,⠑⠛⠊⠗
𒂖,12096,letter,CUNEIFORM SIGN EL,⠑⠇
𒂗,12097,letter,CUNEIFORM SIGN EN,⠑⠝
𒂘,12098,letter,CUNEIFORM SIGN EN TIMES GAN2,⠑⠝⠡⠛⠁⠝
𒂙,12099,letter,CUNEIFORM SIGN EN TIMES GAN2 TENU,⠑⠝⠡⠛⠁⠝ ⠞⠑⠝⠥
𒂚,1209A,letter,CUNEIFORM SIGN EN TIMES ME,⠑⠝⠡⠍⠑
𒂛,1209B,letter,CUNEIFORM SIGN EN CROSSING EN,⠑⠝⠯⠑⠝
𒂜,1209C,letter,CUNEIFORM SIGN EN OPPOSING EN,⠑⠝⠫⠑⠝
𒂝,1209D,letter,CUNEIFORM SIGN EN SQUARED,⠑⠝⠘⠸
𒂞,1209E,letter,CUNEIFORM SIGN EREN,⠑⠗⠑⠝
𒂟,1209F,letter,CUNEIFORM SIGN ERIN2,⠑⠗⠊⠝
𒂠,120A0,letter,CUNEIFORM SIGN ESH2,⠑⠩
𒂡,120A1,letter,CUNEIFORM SIGN EZEN,⠑⠵⠑⠝
𒂢,120A2,letter,CUNEIFORM SIGN EZEN TIMES A,⠑⠵⠑⠝⠡⠁
𒂣,120A3,letter,CUNEIFORM SIGN EZEN TIMES A PLUS LAL,⠑⠵⠑⠝⠡⠁⠬⠇⠁⠇
𒂤,120A4,letter,CUNEIFORM SIGN EZEN TIMES A PLUS LAL TIMES LAL,⠑⠵⠑⠝⠡⠁⠬⠇⠁⠇⠡⠇⠁⠇
𒂥,120A5,letter,CUNEIFORM SIGN EZEN TIMES AN,⠑⠵⠑⠝⠡⠁⠝
𒂦,120A6,letter,CUNEIFORM SIGN EZEN TIMES BAD,⠑⠵⠑⠝⠡⠃⠁⠙
𒂧,120A7,letter,CUNEIFORM SIGN EZEN TIMES DUN3 GUNU,⠑⠵⠑⠝⠡⠙⠥⠝⠒ ⠛⠥⠝⠥
𒂨,120A8,letter,CUNEIFORM SIGN EZEN TIMES DUN3 GUNU GUNU,⠑⠵⠑⠝⠡⠙⠥⠝⠒ ⠛⠥⠝⠥ ⠛⠥⠝⠥
𒂩,120A9,letter,CUNEIFORM SIGN EZEN TIMES HA,⠑⠵⠑⠝⠡⠓⠁
𒂪,120AA,letter,CUNEIFORM SIGN EZEN TIMES HA GUNU,⠑⠵⠑⠝⠡⠓⠁ ⠛⠥⠝⠥
𒂫,120AB,letter,CUNEIFORM SIGN EZEN TIMES IGI GUNU,⠑⠵⠑⠝⠡⠊⠛⠊ ⠛⠥⠝⠥
𒂬,120AC,letter,CUNEIFORM SIGN EZEN TIMES KASKAL,⠑⠵⠑⠝⠡⠅⠁⠎⠅⠁⠇
𒂭,120AD,letter,CUNEIFORM SIGN EZEN TIMES KASKAL SQUARED,⠑⠵⠑⠝⠡⠅⠁⠎⠅⠁⠇⠘⠸
𒂮,120AE,letter,CUNEIFORM SIGN EZEN TIMES KU3,⠑⠵⠑⠝⠡⠅⠥⠒
𒂯,120AF,letter,CUNEIFORM SIGN EZEN TIMES LA,⠑⠵⠑⠝⠡⠇⠁
𒂰,120B0,letter,CUNEIFORM SIGN EZEN TIMES LAL TIMES LAL,⠑⠵⠑⠝⠡⠇⠁⠇⠡⠇⠁⠇
𒂱,120B1,letter,CUNEIFORM SIGN EZEN TIMES LI,⠑⠵⠑⠝⠡⠇⠊
𒂲,120B2,letter,CUNEIFORM SIGN EZEN TIMES LU,⠑⠵⠑⠝⠡⠇⠥
𒂳,120B3,letter,CUNEIFORM SIGN EZEN TIMES U2,⠑⠵⠑⠝⠡⠥
𒂴,120B4,letter,CUNEIFORM SIGN EZEN TIMES UD,⠑⠵⠑⠝⠡⠥⠙
𒂵,120B5,letter,CUNEIFORM SIGN GA,⠛⠁
𒂶,120B6,letter,CUNEIFORM SIGN GA GUNU,⠛⠁ ⠛⠥⠝⠥
𒂷,120B7,letter,CUNEIFORM SIGN GA2,⠛⠁
𒂸,120B8,letter,CUNEIFORM SIGN GA2 TIMES A PLUS DA PLUS HA,⠛⠁⠡⠁⠬⠙⠁⠬⠓⠁
𒂹,120B9,letter,CUNEIFORM SIGN GA2 TIMES A PLUS HA,⠛⠁⠡⠁⠬⠓⠁
𒂺,120BA,letter,CUNEIFORM SIGN GA2 TIMES A PLUS IGI,⠛⠁⠡⠁⠬⠊⠛⠊
𒂻,120BB,letter,CUNEIFORM SIGN GA2 TIMES AB2 TENU PLUS TAB,⠛⠁⠡⠁⠃ ⠞⠑⠝⠥⠬⠞⠁⠃
𒂼,120BC,letter,CUNEIFORM SIGN GA2 TIMES AN,⠛⠁⠡⠁⠝
