Character,Hex,AmericanTranslitteration,Logic,Type,Name,Braille
𒍨,12368,ZIG,336,letter,ZIBKABAtenû,ZIBKABAtenû
𒍩,12369,ZIZ2,238,letter,ZIK,ZIK
𒍪,1236A,ZU,15,letter,ZIZ2,ZIZ2
𒍫,1236B,ZU5,238,letter,SU,SU
𒍬,1236C,ZU5xA,238,letter,ZU5,ZU5
𒍭,1236D,ZUBUR,648,letter,ZU5xA,ZU5xA
𒍮,1236E,ZUM,884,letter,ZUBUR,ZUBUR
𒍯,1236F,KAPELAMITE,238,letter,ZUM,ZUM
𒍰,12370,ABxNUN,238,letter,KAPELAMITE,KAPELAMITE
𒍱,12371,AB2xA,238,letter,ABxNUN,ABxNUN
𒍲,12372,AMARxKUG,238,letter,AB2xA,AB2xA
𒍳,12373,DAGKISIM5xU2+MAI⠩,238,letter,AMARxKUG,AMARxKUG
𒍴,12374,DAG3,238,letter,DAGKISIM5xU2+MAŠ,DAGKISIM5xU2+MAŠ
𒍵,12375,DII⠩+I⠩U,238,letter,DAG3,DAG3
𒍶,12376,DUBxI⠩E,238,letter,DIŠ+ŠU,DIŠ+ŠU
𒍶,12376,DUBxI⠩E,238,letter,DUBxŠE,DUBxŠE
𒍷,12377,EZENxGUD,238,letter,DUBxŠE,DUBxŠE
𒍸,12378,EZENxI⠩E,238,letter,EZENxGUD,EZENxGUD
𒍹,12379,GA2xAN+KAK+A,238,letter,EZENxŠE,EZENxŠE
𒍺,1237A,GA2xAI⠩2,238,letter,GA2xAN+KAK+A,GA2xAN+KAK+A
𒍻,1237B,GE22,238,letter,GA2xAŠ2,GA2xAŠ2
𒍼,1237C,GIG,238,letter,GE22,GE22
𒍽,1237D,I⠡UI⠩,238,letter,GIG,GIG
𒍾,1237E,KAxANI⠩E,238,letter,ḪUŠ,ḪUŠ
𒍿,1237F,KAxAI⠩3,238,letter,KAxANŠE,KAxANŠE
𒎀,12380,KAxGII⠩,238,letter,KAxAŠ3,KAxAŠ3
𒎁,12381,KAxGUD,238,letter,KAxGIŠ,KAxGIŠ
𒎂,12382,KAxI⠡IxAI⠩2,238,letter,KAxGUD,KAxGUD
𒎃,12383,KAxLUM,238,letter,KAxḪIxAŠ2,KAxḪIxAŠ2
𒎄,12384,KAxPA,238,letter,KAxLUM,KAxLUM
𒎅,12385,KAxI⠩UL,238,letter,KAxPA,KAxPA
𒎆,12386,KAxTU,238,letter,KAxŠUL,KAxŠUL
𒎇,12387,KAxUR2,238,letter,KAxTU,KAxTU
𒎈,12388,LAGABxGI,238,letter,KAxUR2,KAxUR2
𒎉,12389,LU2I⠩EI⠩IGxBAD,238,letter,LAGABxGI,LAGABxGI
𒎊,1238A,LU2xEI⠩2+LAL,238,letter,LU2ŠEŠIGxBAD,LU2ŠEŠIGxBAD
𒎋,1238B,LU2xI⠩U,238,letter,LU2xEŠ2+LAL,LU2xEŠ2+LAL
𒎌,1238C,MEI⠩,238,letter,LU2xŠU,LU2xŠU
𒎍,1238D,MUI⠩3xZA,238,letter,MEŠ,MEŠ
𒎎,1238E,NA4,238,letter,MUŠ3xZA,MUŠ3xZA
𒎏,1238F,NIN,238,letter,NA4,NA4
𒎐,12390,NIN9,238,letter,NIN,NIN
𒎑,12391,NINDA2xBAL,238,letter,NIN9,NIN9
𒎒,12392,NINDA2xGI,238,letter,NINDA2xBAL,NINDA2xBAL
𒎓,12393,NU11rotated90°,238,letter,NINDA2xGI,NINDA2xGI
𒎔,12394,PEI⠩2,238,letter,NU11rotated90°,NU11rotated90°
𒎕,12395,PIR2,238,letter,PEŠ2,PEŠ2
𒎖,12396,SAGxIGIgun⠘⠩,238,letter,PIR2,PIR2
𒎗,12397,TI2,238,letter,SAGxIGIgunû,SAGxIGIgunû
𒎘,12398,UMxME,238,letter,TI2,TI2
𒎙,12399,UU,20,letter,UMxME,UMxME
𒀸,12038,ac,199,letter,UU,UU
𒀭,1202d,an,10,letter,ac,ac
𒍤𒆸,12364+121b8,numun2,238,always,an,an
𒄃,12103,gil,105,letter,numun2,numun2
𒋺,122fa,kid2,103,letter,gil,gil
𒉫,1226b,NunCrossingNun,107,letter,kid2,kid2
𒆐,12190,kad2,108,letter,NunCrossingNun,NunCrossingNun
𒆑,12191,kad3,109,letter,kad2,kad2
𒀸𒋩,12038+122e9,accur,238,always,kad3,kad3
𒈾,1223e,na,110,letter,accur,accur
𒊒,12292,ru,111,letter,na,na
𒉡,12261,nu,112,letter,ru,ru
𒁁,12041,bad,113,letter,nu,nu
𒋓,122d3,cir,115,letter,bad,bad
𒆰,121b0,numun,117,letter,cir,cir
𒋾,122fe,ti,118,letter,numun,numun
𒁷,12077,din,119,letter,ti,ti
𒈮,1222e,mug,12,letter,din,din
𒈦,12226,mac,120,letter,mug,mug
𒁇,12047,bar,120,letter,mac,mac
𒑏,1244f,ban2,120,letter,bar,bar
𒈦𒄘𒃼,12226+12118+120fc,idigna,120,always,ban₂,ban₂
𒈦𒌋,12226+1230B,gidim2,125,always,idigna,idigna
𒈦𒌋𒌋,12226+1230B+1230B,mash-man,126,always,gidim2,gidim2
𒀝,1201D,ag,127,letter,mash-man,mash-man
𒀞,1201e,me3,129,letter,ag,ag
𒈯,1222f,zadim,13,letter,me3,me3
𒈧,12227,mac2,130,letter,zadim,zadim
𒆲,121b2,kun,131,letter,mac2,mac2
𒄷,12137,hu,132,letter,kun,kun
𒄷𒋛,12137+122db,u5,133,always,hu,hu
𒉆,12246,nam,134,letter,u5,u5
𒅅,12145,ig,136,letter,nam,nam
𒄷𒄭,12137+1212d,mud,126,always,ig,ig
𒄷𒈿,12137+1223f,sa4,238,always,mud,mud
𒁀,12040,ba,14,letter,sa4,sa4
𒍣,12363,zi,140,letter,ba,ba
𒄀,12100,gi,141,letter,zi,zi
𒊑,12291,ri,142,letter,gi,gi
𒉣,12263,nun,143,letter,ri,ri
𒉩,12269,nun,144,letter,nun,nun
𒉣𒇬,12263+121ec,tur3,145,always,nun,nun
𒉥,12265,immal,146,letter,tur3,tur3
𒉦,12266,cilam,147,letter,immal,immal
𒆏,1218f,kab,148,letter,cilam,cilam
𒍪,1236a,zu,15,letter,kab,kab
𒄽,1213d,hub,150,letter,zu,zu
𒈽,1223d,muc2,152,letter,hub,hub
𒈹,12239,muc3,153,letter,muc2,muc2
𒈻,1223b,sed,155,letter,muc3,muc3
𒃰,120f0,gad,157,letter,sed,sed
𒋺,122fa,Tak4,122,letter,gad,gad
𒋛,122db,SI,125,letter,Tak4,Tak4
𒈀,12200,su,16,letter,akkil,akkil
𒌢,12322,umbin,160,letter,SI,SI
𒋒,122d2,cinig,162,letter,su,su
𒃱,120f1,kinda,163,letter,umbin,umbin
𒂗,12097,en,164,letter,cinig,cinig
𒂘𒂙,12098+12099,buru14,165,always,kinda,kinda
