"Character(decimal)","Decimal","Character(hex)","Hex","Name","Braille"
"𒉼","74364","𒉼","1227C","CUNEIFORM SIGN PAN","pan"
"𒉽","74365","𒉽","1227D","CUNEIFORM SIGN PAP","pap"
"𒉾","74366","𒉾","1227E","CUNEIFORM SIGN PESH2","pesh2"
"𒉿","74367","𒉿","1227F","CUNEIFORM SIGN PI","pi"
"𒊀","74368","𒊀","12280","CUNEIFORM SIGN PI TIMES A","pi[q~*]a"
"𒊁","74369","𒊁","12281","CUNEIFORM SIGN PI TIMES AB","pi[q~*]ab"
"𒊂","74370","𒊂","12282","CUNEIFORM SIGN PI TIMES BI","pi[q~*]bi"
"𒊃","74371","𒊃","12283","CUNEIFORM SIGN PI TIMES BU","pi[q~*]bu"
"𒊄","74372","𒊄","12284","CUNEIFORM SIGN PI TIMES E","pi[q~*]e"
"𒊅","74373","𒊅","12285","CUNEIFORM SIGN PI TIMES I","pi[q~*]i"
"𒊆","74374","𒊆","12286","CUNEIFORM SIGN PI TIMES IB","pi[q~*]ib"
"𒊇","74375","𒊇","12287","CUNEIFORM SIGN PI TIMES U","pi[q~*]u"
"𒊈","74376","𒊈","12288","CUNEIFORM SIGN PI TIMES U2","pi[q~*]u2"
"𒊉","74377","𒊉","12289","CUNEIFORM SIGN PI CROSSING PI","pi[q~&]pi"
"𒊊","74378","𒊊","1228A","CUNEIFORM SIGN PIRIG","pirig"
"𒊋","74379","𒊋","1228B","CUNEIFORM SIGN PIRIG TIMES KAL","pirig[q~*]kal"
"𒊌","74380","𒊌","1228C","CUNEIFORM SIGN PIRIG TIMES UD","pirig[q~*]ud"
"𒊍","74381","𒊍","1228D","CUNEIFORM SIGN PIRIG TIMES ZA","pirig[q~*]za"
"𒊎","74382","𒊎","1228E","CUNEIFORM SIGN PIRIG OPPOSING PIRIG","pirig[q~$]pirig"
"𒊏","74383","𒊏","1228F","CUNEIFORM SIGN RA","ra"
"𒊐","74384","𒊐","12290","CUNEIFORM SIGN RAB","rab"
"𒊑","74385","𒊑","12291","CUNEIFORM SIGN RI","ri"
"𒊒","74386","𒊒","12292","CUNEIFORM SIGN RU","ru"
"𒊓","74387","𒊓","12293","CUNEIFORM SIGN SA","sa"
"𒊔","74388","𒊔","12294","CUNEIFORM SIGN SAG NUTILLU","sag nutillu"
"𒊕","74389","𒊕","12295","CUNEIFORM SIGN SAG","sag"
"𒊖","74390","𒊖","12296","CUNEIFORM SIGN SAG TIMES A","sag[q~*]a"
"𒊗","74391","𒊗","12297","CUNEIFORM SIGN SAG TIMES DU","sag[q~*]du"
"𒊘","74392","𒊘","12298","CUNEIFORM SIGN SAG TIMES DUB","sag[q~*]dub"
"𒊙","74393","𒊙","12299","CUNEIFORM SIGN SAG TIMES HA","sag[q~*]ha"
"𒊚","74394","𒊚","1229A","CUNEIFORM SIGN SAG TIMES KAK","sag[q~*]kak"
"𒊛","74395","𒊛","1229B","CUNEIFORM SIGN SAG TIMES KUR","sag[q~*]kur"
"𒊜","74396","𒊜","1229C","CUNEIFORM SIGN SAG TIMES LUM","sag[q~*]lum"
"𒊝","74397","𒊝","1229D","CUNEIFORM SIGN SAG TIMES MI","sag[q~*]mi"
"𒊞","74398","𒊞","1229E","CUNEIFORM SIGN SAG TIMES NUN","sag[q~*]nun"
"𒊟","74399","𒊟","1229F","CUNEIFORM SIGN SAG TIMES SAL","sag[q~*]sal"
"𒊠","74400","𒊠","122A0","CUNEIFORM SIGN SAG TIMES SHID","sag[q~*]shid"
"𒊡","74401","𒊡","122A1","CUNEIFORM SIGN SAG TIMES TAB","sag[q~*]tab"
"𒊢","74402","𒊢","122A2","CUNEIFORM SIGN SAG TIMES U2","sag[q~*]u2"
"𒊣","74403","𒊣","122A3","CUNEIFORM SIGN SAG TIMES UB","sag[q~*]ub"
"𒊤","74404","𒊤","122A4","CUNEIFORM SIGN SAG TIMES UM","sag[q~*]um"
"𒊥","74405","𒊥","122A5","CUNEIFORM SIGN SAG TIMES UR","sag[q~*]ur"
"𒊦","74406","𒊦","122A6","CUNEIFORM SIGN SAG TIMES USH","sag[q~*]ush"
"𒊧","74407","𒊧","122A7","CUNEIFORM SIGN SAG OVER SAG","sag[q~/]sag"
"𒊨","74408","𒊨","122A8","CUNEIFORM SIGN SAG GUNU","sag gunu"
"𒊩","74409","𒊩","122A9","CUNEIFORM SIGN SAL","sal"
"𒊪","74410","𒊪","122AA","CUNEIFORM SIGN SAL LAGAB TIMES ASH2","sal lagab[q~*]ash2"
"𒊫","74411","𒊫","122AB","CUNEIFORM SIGN SANGA2","sanga2"
"𒊬","74412","𒊬","122AC","CUNEIFORM SIGN SAR","sar"
"𒊭","74413","𒊭","122AD","CUNEIFORM SIGN SHA","sha"
"𒊮","74414","𒊮","122AE","CUNEIFORM SIGN SHA3","sha3"
"𒊯","74415","𒊯","122AF","CUNEIFORM SIGN SHA3 TIMES A","sha3[q~*]a"
"𒊰","74416","𒊰","122B0","CUNEIFORM SIGN SHA3 TIMES BAD","sha3[q~*]bad"
"𒊱","74417","𒊱","122B1","CUNEIFORM SIGN SHA3 TIMES GISH","sha3[q~*]gish"
"𒊲","74418","𒊲","122B2","CUNEIFORM SIGN SHA3 TIMES NE","sha3[q~*]ne"
"𒊳","74419","𒊳","122B3","CUNEIFORM SIGN SHA3 TIMES SHU2","sha3[q~*]shu2"
"𒊴","74420","𒊴","122B4","CUNEIFORM SIGN SHA3 TIMES TUR","sha3[q~*]tur"
"𒊵","74421","𒊵","122B5","CUNEIFORM SIGN SHA3 TIMES U","sha3[q~*]u"
"𒊶","74422","𒊶","122B6","CUNEIFORM SIGN SHA3 TIMES U PLUS A","sha3[q~*]u[q~+]a"
"𒊷","74423","𒊷","122B7","CUNEIFORM SIGN SHA6","sha6"
"𒊸","74424","𒊸","122B8","CUNEIFORM SIGN SHAB6","shab6"
"𒊹","74425","𒊹","122B9","CUNEIFORM SIGN SHAR2","shar2"
"𒊺","74426","𒊺","122BA","CUNEIFORM SIGN SHE","she"
"𒊻","74427","𒊻","122BB","CUNEIFORM SIGN SHE HU","she hu"
"𒊼","74428","𒊼","122BC","CUNEIFORM SIGN SHE OVER SHE GAD OVER GAD GAR OVER GAR","she[q~/]she gad[q~/]gad gar[q~/]gar"
"𒊽","74429","𒊽","122BD","CUNEIFORM SIGN SHE OVER SHE TAB OVER TAB GAR OVER GAR","she[q~/]she tab[q~/]tab gar[q~/]gar"
"𒊾","74430","𒊾","122BE","CUNEIFORM SIGN SHEG9","sheg9"
"𒊿","74431","𒊿","122BF","CUNEIFORM SIGN SHEN","shen"
"𒋀","74432","𒋀","122C0","CUNEIFORM SIGN SHESH","shesh"
"𒋁","74433","𒋁","122C1","CUNEIFORM SIGN SHESH2","shesh2"
"𒋂","74434","𒋂","122C2","CUNEIFORM SIGN SHESHLAM","sheshlam"
"𒋃","74435","𒋃","122C3","CUNEIFORM SIGN SHID","shid"
"𒋄","74436","𒋄","122C4","CUNEIFORM SIGN SHID TIMES A","shid[q~*]a"
"𒋅","74437","𒋅","122C5","CUNEIFORM SIGN SHID TIMES IM","shid[q~*]im"
"𒋆","74438","𒋆","122C6","CUNEIFORM SIGN SHIM","shim"
"𒋇","74439","𒋇","122C7","CUNEIFORM SIGN SHIM TIMES A","shim[q~*]a"
"𒋈","74440","𒋈","122C8","CUNEIFORM SIGN SHIM TIMES BAL","shim[q~*]bal"
"𒋉","74441","𒋉","122C9","CUNEIFORM SIGN SHIM TIMES BULUG","shim[q~*]bulug"
"𒋊","74442","𒋊","122CA","CUNEIFORM SIGN SHIM TIMES DIN","shim[q~*]din"
"𒋋","74443","𒋋","122CB","CUNEIFORM SIGN SHIM TIMES GAR","shim[q~*]gar"
"𒋌","74444","𒋌","122CC","CUNEIFORM SIGN SHIM TIMES IGI","shim[q~*]igi"
"𒋍","74445","𒋍","122CD","CUNEIFORM SIGN SHIM TIMES IGI GUNU","shim[q~*]igi gunu"
"𒋎","74446","𒋎","122CE","CUNEIFORM SIGN SHIM TIMES KUSHU2","shim[q~*]kushu2"
"𒋏","74447","𒋏","122CF","CUNEIFORM SIGN SHIM TIMES LUL","shim[q~*]lul"
"𒋐","74448","𒋐","122D0","CUNEIFORM SIGN SHIM TIMES MUG","shim[q~*]mug"
"𒋑","74449","𒋑","122D1","CUNEIFORM SIGN SHIM TIMES SAL","shim[q~*]sal"
"𒋒","74450","𒋒","122D2","CUNEIFORM SIGN SHINIG","shinig"
"𒋓","74451","𒋓","122D3","CUNEIFORM SIGN SHIR","shir"
"𒋔","74452","𒋔","122D4","CUNEIFORM SIGN SHIR TENU","shir tenu"
"𒋕","74453","𒋕","122D5","CUNEIFORM SIGN SHIR OVER SHIR BUR OVER BUR","shir[q~/]shir bur[q~/]bur"
"𒋖","74454","𒋖","122D6","CUNEIFORM SIGN SHITA","shita"
"𒋗","74455","𒋗","122D7","CUNEIFORM SIGN SHU","shu"
"𒋘","74456","𒋘","122D8","CUNEIFORM SIGN SHU OVER INVERTED SHU","shu[q~/]inverted shu"
"𒋙","74457","𒋙","122D9","CUNEIFORM SIGN SHU2","shu2"
"𒋚","74458","𒋚","122DA","CUNEIFORM SIGN SHUBUR","shubur"
"𒋛","74459","𒋛","122DB","CUNEIFORM SIGN SI","si"
"𒋜","74460","𒋜","122DC","CUNEIFORM SIGN SI GUNU","si gunu"
"𒋝","74461","𒋝","122DD","CUNEIFORM SIGN SIG","sig"
"𒋞","74462","𒋞","122DE","CUNEIFORM SIGN SIG4","sig4"
"𒋟","74463","𒋟","122DF","CUNEIFORM SIGN SIG4 OVER SIG4 SHU2","sig4[q~/]sig4 shu2"
"𒋠","74464","𒋠","122E0","CUNEIFORM SIGN SIK2","sik2"
"𒋡","74465","𒋡","122E1","CUNEIFORM SIGN SILA3","sila3"
"𒋢","74466","𒋢","122E2","CUNEIFORM SIGN SU","su"
"𒋣","74467","𒋣","122E3","CUNEIFORM SIGN SU OVER SU","su[q~/]su"
"𒋤","74468","𒋤","122E4","CUNEIFORM SIGN SUD","sud"
"𒋥","74469","𒋥","122E5","CUNEIFORM SIGN SUD2","sud2"
"𒋦","74470","𒋦","122E6","CUNEIFORM SIGN SUHUR","suhur"
"𒋧","74471","𒋧","122E7","CUNEIFORM SIGN SUM","sum"
"𒋨","74472","𒋨","122E8","CUNEIFORM SIGN SUMASH","sumash"
"𒋩","74473","𒋩","122E9","CUNEIFORM SIGN SUR","sur"
"𒋪","74474","𒋪","122EA","CUNEIFORM SIGN SUR9","sur9"
"𒋫","74475","𒋫","122EB","CUNEIFORM SIGN TA","ta"
"𒋬","74476","𒋬","122EC","CUNEIFORM SIGN TA ASTERISK","ta[q~*]"
"𒋭","74477","𒋭","122ED","CUNEIFORM SIGN TA TIMES HI","ta[q~*]hi"
"𒋮","74478","𒋮","122EE","CUNEIFORM SIGN TA TIMES MI","ta[q~*]mi"
"𒋯","74479","𒋯","122EF","CUNEIFORM SIGN TA GUNU","ta gunu"
"𒋰","74480","𒋰","122F0","CUNEIFORM SIGN TAB","tab"
"𒋱","74481","𒋱","122F1","CUNEIFORM SIGN TAB OVER TAB NI OVER NI DISH OVER DISH","tab[q~/]tab ni[q~/]ni dish[q~/]dish"
"𒋲","74482","𒋲","122F2","CUNEIFORM SIGN TAB SQUARED","tab[q~^][q~^]"
"𒋳","74483","𒋳","122F3","CUNEIFORM SIGN TAG","tag"
"𒋴","74484","𒋴","122F4","CUNEIFORM SIGN TAG TIMES BI","tag[q~*]bi"
"𒋵","74485","𒋵","122F5","CUNEIFORM SIGN TAG TIMES GUD","tag[q~*]gud"
"𒋶","74486","𒋶","122F6","CUNEIFORM SIGN TAG TIMES SHE","tag[q~*]she"
"𒋷","74487","𒋷","122F7","CUNEIFORM SIGN TAG TIMES SHU","tag[q~*]shu"
"𒋸","74488","𒋸","122F8","CUNEIFORM SIGN TAG TIMES TUG2","tag[q~*]tug2"
"𒋹","74489","𒋹","122F9","CUNEIFORM SIGN TAG TIMES UD","tag[q~*]ud"
"𒋺","74490","𒋺","122FA","CUNEIFORM SIGN TAK4","tak4"
"𒋻","74491","𒋻","122FB","CUNEIFORM SIGN TAR","tar"
"𒋼","74492","𒋼","122FC","CUNEIFORM SIGN TE","te"
"𒋽","74493","𒋽","122FD","CUNEIFORM SIGN TE GUNU","te gunu"
"𒋾","74494","𒋾","122FE","CUNEIFORM SIGN TI","ti"
"𒋿","74495","𒋿","122FF","CUNEIFORM SIGN TI TENU","ti tenu"
"𒌀","74496","𒌀","12300","CUNEIFORM SIGN TIL","til"
"𒌁","74497","𒌁","12301","CUNEIFORM SIGN TIR","tir"
"𒌂","74498","𒌂","12302","CUNEIFORM SIGN TIR TIMES TAK4","tir[q~*]tak4"
"𒌃","74499","𒌃","12303","CUNEIFORM SIGN TIR OVER TIR","tir[q~/]tir"
"𒌄","74500","𒌄","12304","CUNEIFORM SIGN TIR OVER TIR GAD OVER GAD GAR OVER GAR","tir[q~/]tir gad[q~/]gad gar[q~/]gar"
"𒌅","74501","𒌅","12305","CUNEIFORM SIGN TU","tu"
"𒌆","74502","𒌆","12306","CUNEIFORM SIGN TUG2","tug2"
"𒌇","74503","𒌇","12307","CUNEIFORM SIGN TUK","tuk"
"𒌈","74504","𒌈","12308","CUNEIFORM SIGN TUM","tum"
"𒌉","74505","𒌉","12309","CUNEIFORM SIGN TUR","tur"
"𒌊","74506","𒌊","1230A","CUNEIFORM SIGN TUR OVER TUR ZA OVER ZA","tur[q~/]tur za[q~/]za"
"𒌋","74507","𒌋","1230B","CUNEIFORM SIGN U","u"
"𒌌","74508","𒌌","1230C","CUNEIFORM SIGN U GUD","u gud"
"𒌍","74509","𒌍","1230D","CUNEIFORM SIGN U U U","u u u"
"𒌎","74510","𒌎","1230E","CUNEIFORM SIGN U OVER U PA OVER PA GAR OVER GAR","u[q~/]u pa[q~/]pa gar[q~/]gar"
"𒌏","74511","𒌏","1230F","CUNEIFORM SIGN U OVER U SUR OVER SUR","u[q~/]u sur[q~/]sur"
"𒌐","74512","𒌐","12310","CUNEIFORM SIGN U OVER U U REVERSED OVER U REVERSED","u[q~/]u u[q~&]lt;[q~/]u[q~&]lt;"
"𒌑","74513","𒌑","12311","CUNEIFORM SIGN U2","u2"
"𒌒","74514","𒌒","12312","CUNEIFORM SIGN UB","ub"
"𒌓","74515","𒌓","12313","CUNEIFORM SIGN UD","ud"
"𒌔","74516","𒌔","12314","CUNEIFORM SIGN UD KUSHU2","ud kushu2"
"𒌕","74517","𒌕","12315","CUNEIFORM SIGN UD TIMES BAD","ud[q~*]bad"
"𒌖","74518","𒌖","12316","CUNEIFORM SIGN UD TIMES MI","ud[q~*]mi"
"𒌗","74519","𒌗","12317","CUNEIFORM SIGN UD TIMES U PLUS U PLUS U","ud[q~*]u[q~+]u[q~+]u"
"𒌘","74520","𒌘","12318","CUNEIFORM SIGN UD TIMES U PLUS U PLUS U GUNU","ud[q~*]u[q~+]u[q~+]u gunu"
"𒌙","74521","𒌙","12319","CUNEIFORM SIGN UD GUNU","ud gunu"
"𒌚","74522","𒌚","1231A","CUNEIFORM SIGN UD SHESHIG","ud sheshig"
"𒌛","74523","𒌛","1231B","CUNEIFORM SIGN UD SHESHIG TIMES BAD","ud sheshig[q~*]bad"
"𒌜","74524","𒌜","1231C","CUNEIFORM SIGN UDUG","udug"
"𒌝","74525","𒌝","1231D","CUNEIFORM SIGN UM","um"
"𒌞","74526","𒌞","1231E","CUNEIFORM SIGN UM TIMES LAGAB","um[q~*]lagab"
"𒌟","74527","𒌟","1231F","CUNEIFORM SIGN UM TIMES ME PLUS DA","um[q~*]me[q~+]da"
"𒌠","74528","𒌠","12320","CUNEIFORM SIGN UM TIMES SHA3","um[q~*]sha3"
"𒌡","74529","𒌡","12321","CUNEIFORM SIGN UM TIMES U","um[q~*]u"
"𒌢","74530","𒌢","12322","CUNEIFORM SIGN UMBIN","umbin"
"𒌣","74531","𒌣","12323","CUNEIFORM SIGN UMUM","umum"
"𒌤","74532","𒌤","12324","CUNEIFORM SIGN UMUM TIMES KASKAL","umum[q~*]kaskal"
"𒌥","74533","𒌥","12325","CUNEIFORM SIGN UMUM TIMES PA","umum[q~*]pa"
"𒌦","74534","𒌦","12326","CUNEIFORM SIGN UN","un"
"𒌧","74535","𒌧","12327","CUNEIFORM SIGN UN GUNU","un gunu"
"𒌨","74536","𒌨","12328","CUNEIFORM SIGN UR","ur"
"𒌩","74537","𒌩","12329","CUNEIFORM SIGN UR CROSSING UR","ur[q~&]ur"
"𒌪","74538","𒌪","1232A","CUNEIFORM SIGN UR SHESHIG","ur sheshig"
"𒌫","74539","𒌫","1232B","CUNEIFORM SIGN UR2","ur2"
"𒌬","74540","𒌬","1232C","CUNEIFORM SIGN UR2 TIMES A PLUS HA","ur2[q~*]a[q~+]ha"
"𒌭","74541","𒌭","1232D","CUNEIFORM SIGN UR2 TIMES A PLUS NA","ur2[q~*]a[q~+]na"
"𒌮","74542","𒌮","1232E","CUNEIFORM SIGN UR2 TIMES AL","ur2[q~*]al"
"𒌯","74543","𒌯","1232F","CUNEIFORM SIGN UR2 TIMES HA","ur2[q~*]ha"
"𒌰","74544","𒌰","12330","CUNEIFORM SIGN UR2 TIMES NUN","ur2[q~*]nun"
"𒌱","74545","𒌱","12331","CUNEIFORM SIGN UR2 TIMES U2","ur2[q~*]u2"
"𒌲","74546","𒌲","12332","CUNEIFORM SIGN UR2 TIMES U2 PLUS ASH","ur2[q~*]u2[q~+]ash"
"𒌳","74547","𒌳","12333","CUNEIFORM SIGN UR2 TIMES U2 PLUS BI","ur2[q~*]u2[q~+]bi"
"𒌴","74548","𒌴","12334","CUNEIFORM SIGN UR4","ur4"
"𒌵","74549","𒌵","12335","CUNEIFORM SIGN URI","uri"
"𒌶","74550","𒌶","12336","CUNEIFORM SIGN URI3","uri3"
"𒌷","74551","𒌷","12337","CUNEIFORM SIGN URU","uru"
"𒌸","74552","𒌸","12338","CUNEIFORM SIGN URU TIMES A","uru[q~*]a"
"𒌹","74553","𒌹","12339","CUNEIFORM SIGN URU TIMES ASHGAB","uru[q~*]ashgab"
"𒌺","74554","𒌺","1233A","CUNEIFORM SIGN URU TIMES BAR","uru[q~*]bar"
"𒌻","74555","𒌻","1233B","CUNEIFORM SIGN URU TIMES DUN","uru[q~*]dun"
"𒌼","74556","𒌼","1233C","CUNEIFORM SIGN URU TIMES GA","uru[q~*]ga"
"𒌽","74557","𒌽","1233D","CUNEIFORM SIGN URU TIMES GAL","uru[q~*]gal"
"𒌾","74558","𒌾","1233E","CUNEIFORM SIGN URU TIMES GAN2 TENU","uru[q~*]gan2 tenu"
"𒌿","74559","𒌿","1233F","CUNEIFORM SIGN URU TIMES GAR","uru[q~*]gar"
"𒍀","74560","𒍀","12340","CUNEIFORM SIGN URU TIMES GU","uru[q~*]gu"
"𒍁","74561","𒍁","12341","CUNEIFORM SIGN URU TIMES HA","uru[q~*]ha"
"𒍂","74562","𒍂","12342","CUNEIFORM SIGN URU TIMES IGI","uru[q~*]igi"
"𒍃","74563","𒍃","12343","CUNEIFORM SIGN URU TIMES IM","uru[q~*]im"
"𒍄","74564","𒍄","12344","CUNEIFORM SIGN URU TIMES ISH","uru[q~*]ish"
"𒍅","74565","𒍅","12345","CUNEIFORM SIGN URU TIMES KI","uru[q~*]ki"
"𒍆","74566","𒍆","12346","CUNEIFORM SIGN URU TIMES LUM","uru[q~*]lum"
"𒍇","74567","𒍇","12347","CUNEIFORM SIGN URU TIMES MIN","uru[q~*]min"
"𒍈","74568","𒍈","12348","CUNEIFORM SIGN URU TIMES PA","uru[q~*]pa"
"𒍉","74569","𒍉","12349","CUNEIFORM SIGN URU TIMES SHE","uru[q~*]she"
"𒍊","74570","𒍊","1234A","CUNEIFORM SIGN URU TIMES SIG4","uru[q~*]sig4"
"𒍋","74571","𒍋","1234B","CUNEIFORM SIGN URU TIMES TU","uru[q~*]tu"
"𒍌","74572","𒍌","1234C","CUNEIFORM SIGN URU TIMES U PLUS GUD","uru[q~*]u[q~+]gud"
"𒍍","74573","𒍍","1234D","CUNEIFORM SIGN URU TIMES UD","uru[q~*]ud"
"𒍎","74574","𒍎","1234E","CUNEIFORM SIGN URU TIMES URUDA","uru[q~*]uruda"
"𒍏","74575","𒍏","1234F","CUNEIFORM SIGN URUDA","uruda"
"𒍐","74576","𒍐","12350","CUNEIFORM SIGN URUDA TIMES U","uruda[q~*]u"
"𒍑","74577","𒍑","12351","CUNEIFORM SIGN USH","ush"
"𒍒","74578","𒍒","12352","CUNEIFORM SIGN USH TIMES A","ush[q~*]a"
"𒍓","74579","𒍓","12353","CUNEIFORM SIGN USH TIMES KU","ush[q~*]ku"
"𒍔","74580","𒍔","12354","CUNEIFORM SIGN USH TIMES KUR","ush[q~*]kur"
"𒍕","74581","𒍕","12355","CUNEIFORM SIGN USH TIMES TAK4","ush[q~*]tak4"
"𒍖","74582","𒍖","12356","CUNEIFORM SIGN USHX","ushx"
"𒍗","74583","𒍗","12357","CUNEIFORM SIGN USH2","ush2"
"𒍘","74584","𒍘","12358","CUNEIFORM SIGN USHUMX","ushumx"
"𒍙","74585","𒍙","12359","CUNEIFORM SIGN UTUKI","utuki"
"𒍚","74586","𒍚","1235A","CUNEIFORM SIGN UZ3","uz3"
"𒍛","74587","𒍛","1235B","CUNEIFORM SIGN UZ3 TIMES KASKAL","uz3[q~*]kaskal"
"𒍜","74588","𒍜","1235C","CUNEIFORM SIGN UZU","uzu"
"𒍝","74589","𒍝","1235D","CUNEIFORM SIGN ZA","za"
"𒍞","74590","𒍞","1235E","CUNEIFORM SIGN ZA TENU","za tenu"
"𒍟","74591","𒍟","1235F","CUNEIFORM SIGN ZA SQUARED TIMES KUR","za[q~^][q~^][q~*]kur"
"𒍠","74592","𒍠","12360","CUNEIFORM SIGN ZAG","zag"
"𒍡","74593","𒍡","12361","CUNEIFORM SIGN ZAMX","zamx"
"𒍢","74594","𒍢","12362","CUNEIFORM SIGN ZE2","ze2"
"𒍣","74595","𒍣","12363","CUNEIFORM SIGN ZI","zi"
"𒍤","74596","𒍤","12364","CUNEIFORM SIGN ZI OVER ZI","zi[q~/]zi"
"𒍥","74597","𒍥","12365","CUNEIFORM SIGN ZI3","zi3"
"𒍦","74598","𒍦","12366","CUNEIFORM SIGN ZIB","zib"
"𒍧","74599","𒍧","12367","CUNEIFORM SIGN ZIB KABA TENU","zib kaba tenu"
"𒍨","74600","𒍨","12368","CUNEIFORM SIGN ZIG","zig"
"𒍩","74601","𒍩","12369","CUNEIFORM SIGN ZIZ2","ziz2"
"𒍪","74602","𒍪","1236A","CUNEIFORM SIGN ZU","zu"
"𒍫","74603","𒍫","1236B","CUNEIFORM SIGN ZU5","zu5"
"𒍬","74604","𒍬","1236C","CUNEIFORM SIGN ZU5 TIMES A","zu5[q~*]a"
"𒍭","74605","𒍭","1236D","CUNEIFORM SIGN ZUBUR","zubur"
"𒍮","74606","𒍮","1236E","CUNEIFORM SIGN ZUM","zum"
"𒍯","74607","𒍯","1236F","CUNEIFORM SIGN KAP ELAMITE","kap elamite"
"𒍰","74608","𒍰","12370","CUNEIFORM SIGN AB TIMES NUN","ab[q~*]nun"
"𒍱","74609","𒍱","12371","CUNEIFORM SIGN AB2 TIMES A","ab2[q~*]a"
"𒍲","74610","𒍲","12372","CUNEIFORM SIGN AMAR TIMES KUG","amar[q~*]kug"
"𒍳","74611","𒍳","12373","CUNEIFORM SIGN DAG KISIM5 TIMES U2 PLUS MASH","dag kisim5[q~*]u2[q~+]mash"
"𒍴","74612","𒍴","12374","CUNEIFORM SIGN DAG3","dag3"
"𒍵","74613","𒍵","12375","CUNEIFORM SIGN DISH PLUS SHU","dish[q~+]shu"
"𒍶","74614","𒍶","12376","CUNEIFORM SIGN DUB TIMES SHE","dub[q~*]she"
"𒍷","74615","𒍷","12377","CUNEIFORM SIGN EZEN TIMES GUD","ezen[q~*]gud"
"𒍸","74616","𒍸","12378","CUNEIFORM SIGN EZEN TIMES SHE","ezen[q~*]she"
"𒍹","74617","𒍹","12379","CUNEIFORM SIGN GA2 TIMES AN PLUS KAK PLUS A","ga2[q~*]an[q~+]kak[q~+]a"
"𒍺","74618","𒍺","1237A","CUNEIFORM SIGN GA2 TIMES ASH2","ga2[q~*]ash2"
"𒍻","74619","𒍻","1237B","CUNEIFORM SIGN GE22","ge22"
"𒍼","74620","𒍼","1237C","CUNEIFORM SIGN GIG","gig"
"𒍽","74621","𒍽","1237D","CUNEIFORM SIGN HUSH","hush"
"𒍾","74622","𒍾","1237E","CUNEIFORM SIGN KA TIMES ANSHE","ka[q~*]anshe"
"𒍿","74623","𒍿","1237F","CUNEIFORM SIGN KA TIMES ASH3","ka[q~*]ash3"
"𒎀","74624","𒎀","12380","CUNEIFORM SIGN KA TIMES GISH","ka[q~*]gish"
"𒎁","74625","𒎁","12381","CUNEIFORM SIGN KA TIMES GUD","ka[q~*]gud"
"𒎂","74626","𒎂","12382","CUNEIFORM SIGN KA TIMES HI TIMES ASH2","ka[q~*]hi[q~*]ash2"
"𒎃","74627","𒎃","12383","CUNEIFORM SIGN KA TIMES LUM","ka[q~*]lum"
"𒎄","74628","𒎄","12384","CUNEIFORM SIGN KA TIMES PA","ka[q~*]pa"
"𒎅","74629","𒎅","12385","CUNEIFORM SIGN KA TIMES SHUL","ka[q~*]shul"
"𒎆","74630","𒎆","12386","CUNEIFORM SIGN KA TIMES TU","ka[q~*]tu"
"𒎇","74631","𒎇","12387","CUNEIFORM SIGN KA TIMES UR2","ka[q~*]ur2"
"𒎈","74632","𒎈","12388","CUNEIFORM SIGN LAGAB TIMES GI","lagab[q~*]gi"
"𒎉","74633","𒎉","12389","CUNEIFORM SIGN LU2 SHESHIG TIMES BAD","lu2 sheshig[q~*]bad"
"𒎊","74634","𒎊","1238A","CUNEIFORM SIGN LU2 TIMES ESH2 PLUS LAL","lu2[q~*]esh2[q~+]lal"
"𒎋","74635","𒎋","1238B","CUNEIFORM SIGN LU2 TIMES SHU","lu2[q~*]shu"
"𒎌","74636","𒎌","1238C","CUNEIFORM SIGN MESH","mesh"
"𒎍","74637","𒎍","1238D","CUNEIFORM SIGN MUSH3 TIMES ZA","mush3[q~*]za"
"𒎎","74638","𒎎","1238E","CUNEIFORM SIGN NA4","na4"
"𒎏","74639","𒎏","1238F","CUNEIFORM SIGN NIN","nin"
"𒎐","74640","𒎐","12390","CUNEIFORM SIGN NIN9","nin9"
"𒎑","74641","𒎑","12391","CUNEIFORM SIGN NINDA2 TIMES BAL","ninda2[q~*]bal"
"𒎒","74642","𒎒","12392","CUNEIFORM SIGN NINDA2 TIMES GI","ninda2[q~*]gi"
"𒎓","74643","𒎓","12393","CUNEIFORM SIGN NU11 ROTATED NINETY DEGREES","nu11[q~%]"
"𒎔","74644","𒎔","12394","CUNEIFORM SIGN PESH2 ASTERISK","pesh2[q~*]"
"𒎕","74645","𒎕","12395","CUNEIFORM SIGN PIR2","pir2"
"𒎖","74646","𒎖","12396","CUNEIFORM SIGN SAG TIMES IGI GUNU","sag[q~*]igi gunu"
"𒎗","74647","𒎗","12397","CUNEIFORM SIGN TI2","ti2"
"𒎘","74648","𒎘","12398","CUNEIFORM SIGN UM TIMES ME","um[q~*]me"
