"Character(decimal)","Decimal","Character(hex)","Hex","Name","Braille"
"𒇒","74194","𒇒","121D2","CUNEIFORM SIGN LAGAB TIMES KUL","lagab[q~*]kul"
"𒇓","74195","𒇓","121D3","CUNEIFORM SIGN LAGAB TIMES KUL PLUS HI PLUS A","lagab[q~*]kul[q~+]hi[q~+]a"
"𒇔","74196","𒇔","121D4","CUNEIFORM SIGN LAGAB TIMES LAGAB","lagab[q~*]lagab"
"𒇕","74197","𒇕","121D5","CUNEIFORM SIGN LAGAB TIMES LISH","lagab[q~*]lish"
"𒇖","74198","𒇖","121D6","CUNEIFORM SIGN LAGAB TIMES LU","lagab[q~*]lu"
"𒇗","74199","𒇗","121D7","CUNEIFORM SIGN LAGAB TIMES LUL","lagab[q~*]lul"
"𒇘","74200","𒇘","121D8","CUNEIFORM SIGN LAGAB TIMES ME","lagab[q~*]me"
"𒇙","74201","𒇙","121D9","CUNEIFORM SIGN LAGAB TIMES ME PLUS EN","lagab[q~*]me[q~+]en"
"𒇚","74202","𒇚","121DA","CUNEIFORM SIGN LAGAB TIMES MUSH","lagab[q~*]mush"
"𒇛","74203","𒇛","121DB","CUNEIFORM SIGN LAGAB TIMES NE","lagab[q~*]ne"
"𒇜","74204","𒇜","121DC","CUNEIFORM SIGN LAGAB TIMES SHE PLUS SUM","lagab[q~*]she[q~+]sum"
"𒇝","74205","𒇝","121DD","CUNEIFORM SIGN LAGAB TIMES SHITA PLUS GISH PLUS ERIN2","lagab[q~*]shita[q~+]gish[q~+]erin2"
"𒇞","74206","𒇞","121DE","CUNEIFORM SIGN LAGAB TIMES SHITA PLUS GISH TENU","lagab[q~*]shita[q~+]gish tenu"
"𒇟","74207","𒇟","121DF","CUNEIFORM SIGN LAGAB TIMES SHU2","lagab[q~*]shu2"
"𒇠","74208","𒇠","121E0","CUNEIFORM SIGN LAGAB TIMES SHU2 PLUS SHU2","lagab[q~*]shu2[q~+]shu2"
"𒇡","74209","𒇡","121E1","CUNEIFORM SIGN LAGAB TIMES SUM","lagab[q~*]sum"
"𒇢","74210","𒇢","121E2","CUNEIFORM SIGN LAGAB TIMES TAG","lagab[q~*]tag"
"𒇣","74211","𒇣","121E3","CUNEIFORM SIGN LAGAB TIMES TAK4","lagab[q~*]tak4"
"𒇤","74212","𒇤","121E4","CUNEIFORM SIGN LAGAB TIMES TE PLUS A PLUS SU PLUS NA","lagab[q~*]te[q~+]a[q~+]su[q~+]na"
"𒇥","74213","𒇥","121E5","CUNEIFORM SIGN LAGAB TIMES U","lagab[q~*]u"
"𒇦","74214","𒇦","121E6","CUNEIFORM SIGN LAGAB TIMES U PLUS A","lagab[q~*]u[q~+]a"
"𒇧","74215","𒇧","121E7","CUNEIFORM SIGN LAGAB TIMES U PLUS U PLUS U","lagab[q~*]u[q~+]u[q~+]u"
"𒇨","74216","𒇨","121E8","CUNEIFORM SIGN LAGAB TIMES U2 PLUS ASH","lagab[q~*]u2[q~+]ash"
"𒇩","74217","𒇩","121E9","CUNEIFORM SIGN LAGAB TIMES UD","lagab[q~*]ud"
