Character,Hex,Type,Name,Braille
𒊱,122B1,letter,shA3xBAD,shA3xBAD
𒊲,122B2,letter,shA3xGIsh,shA3xGIsh
𒊙,12299,letter,SAGxDUB,SAGxDUB
𒊗,12297,letter,SAGxA,SAGxA
𒉼,1227C,letter,shUK,shUK
𒊖,12296,letter,SAG,SAG
𒉽,1227D,letter,PAN,PAN
𒉾,1227E,letter,PAB,PAB
𒉿,1227F,letter,PEsh2,PEsh2
𒊀,12280,letter,TAL2,TAL2
𒊁,12281,letter,PIxA,PIxA
𒊂,12282,letter,PIxAB,PIxAB
𒊃,12283,letter,PIxBI,PIxBI
𒊄,12284,letter,PIxBU,PIxBU
𒊅,12285,letter,PIxBU,PIxBU
𒊆,12286,letter,PIxI,PIxI
𒊇,12287,letter,PIxIB,PIxIB
𒊈,12288,letter,PIxU,PIxU
𒊉,12289,letter,PIxU2,PIxU2
𒊊,1228A,letter,PIcrossingPI,PIcrossingPI
𒊋,1228B,letter,PIRIG,PIRIG
𒊌,1228C,letter,PIRIGxKAL,PIRIGxKAL
𒊍,1228D,letter,UG,UG
𒊎,1228E,letter,AZ,AZ
𒊏,1228F,letter,PIRIGopposingPIRIG,PIRIGopposingPIRIG
𒊐,12290,letter,RA,RA
𒊑,12291,letter,RAB,RAB
𒊒,12292,letter,DAL,DAL
𒊓,12293,letter,RU,RU
𒊔,12294,letter,SA,SA
𒊕,12295,letter,SAGNUTILLU,SAGNUTILLU
𒉂,12242,letter,HAYA238,HAYA238
𒉁,12241,letter,NISABA,NISABA
𒉀,12240,letter,NU2,NU2
𒇫,121EB,letter,LAGABxUsh,LAGABxUsh
𒇭,121ED,letter,LAGAR,LAGAR
𒇮,121EE,letter,SU7,SU7
𒇯,121EF,letter,LAGARxshE+SUM,LAGARxshE+SUM
𒇰,121F0,letter,DU6,DU6
𒇱,121F1,letter,LAGARgunu/LAGARgunushE,LAGARgunu/LAGARgunushE
𒇲,121F2,letter,LAHshU,LAHshU
𒇳,121F3,letter,LA2,LA2
𒇴,121F4,letter,LAL2,LAL2
𒇵,121F5,letter,BAfromGANBA,BAfromGANBA
𒇶,121F6,letter,Esh22,Esh22
𒇷,121F7,letter,LAMxKUR+RU,LAMxKUR+RU
𒇸,121F8,letter,LI,LI
𒇹,121F9,letter,LIL,LIL
