Character,Hex,Type,Name,Braille
קָּ,05E7+05B8+05BC,always,qof dagesh with qamats,⠐⠟⠣
קַּ,05E7+05B7+05BC,always,qof with dagesh,⠐⠟⠉
לִּ,05DC+05B4+05BC,always,lamed  dagesh with hiriq,⠐⠇⠊
לֶּ,05DC+05B6+05BC,always,lamed with dagesh,⠐⠇⠑
פִּ,05E4+05B4+05BC,always,pe  dagesh with hiriq,⠏⠊
שֱׁ,05E9+05B1+05C1,always,shin with dot and hataf segol,⠩⠢
בֳּ,05D1+05B3+05BC,always,bet dagesh with hataf qamats,⠃⠜
כִּ,05DB+05B4+05BC,always,kaf  dagesh with hiriq,⠅⠊
כֲּ,05DB+05B2+05BC,always,kaf dagesh with hataf patah,⠅⠒
כֱּ,05DB+05B1+05BC,always,kaf dagesh with hataf segol,⠅⠢
כָּ,05DB+05B8+05BC,always,kaf dagesh with qamats,⠅⠣
כַּ,05DB+05B7+05BC,always,kaf with dagesh,⠅⠉
כֶּ,05DB+05B6+05BC,always,kaf with dagesh,⠅⠑
מֲּ,05DE+05B2+05BC,always,mem dagesh  hataf patah,⠐⠍⠒
שֵׁ,05E9+05B5+05C1,always,shin with dot,⠩⠌
שֶׁ,05E9+05B6+05C1,always,shin with dot,⠩⠑
שָׁ,05E9+05B8+05C1,always,shin with dot and qamats,⠩⠣
לַּ,05DC+05B7+05BC,always,lamed with dagesh,⠐⠇⠉
מֱּ,05DE+05B1+05BC,always,mem dagesh  hataf segol,⠐⠍⠢
כֵּ,05DB+05B5+05BC,always,kaf with dagesh,⠅⠌
שִׁ,05E9+05B4+05C1,always,shin  with dot and hiriq,⠩⠊
שַׁ,05E9+05B7+05C1,always,shin with dot,⠩⠉
מֳּ,05DE+05B3+05BC,always,mem dagesh  hataf qamats,⠐⠍⠜
לֱּ,05DC+05B1+05BC,always,lamed dagesh with hataf segol,⠐⠇⠢
מָּ,05DE+05B8+05BC,always,mem dagesh  qamats,⠐⠍⠣
כֳּ,05DB+05B3+05BC,always,kaf dagesh  hataf qamats,⠅⠜
לֳּ,05DC+05B3+05BC,always,lamed dagesh with hataf qamats,⠐⠇⠜
לָּ,05DC+05B8+05BC,always,lamed dagesh with qamats,⠐⠇⠣
קֶּ,05E7+05B6+05BC,always,qof with dagesh,⠐⠟⠑
מִּ,05DE+05B4+05BC,always,mem  dagesh with hiriq,⠐⠍
פַּ,05E4+05B7+05BC,always,pe with dagesh,⠏⠉
נַּ,05E0+05B7+05BC,always,nun with dagesh,⠐⠝⠉
נֱּ,05E0+05B1+05BC,always,nun dagesh with hataf segol,⠐⠝⠢
נֲּ,05E0+05B2+05BC,always,nun dagesh with hataf patah,⠐⠝⠒
נֳּ,05E0+05B3+05BC,always,nun dagesh with hataf qamats,⠐⠝⠜
רֵּ,05E8+05B5+05BC,always,Resh with dagesh,⠐⠗⠌
רִּ,05E8+05B4+05BC,always,Resh dagesh with hiriq,⠐⠗⠊
סִּ,05E1+05B4+05BC,always,samekh dagesh with hiriq,⠐⠎⠊
סֵּ,05E1+05B5+05BC,always,samekh with dagesh,⠐⠎⠌
סֶּ,05E1+05B6+05BC,always,samekh with dagesh,⠐⠎⠑
סַּ,05E1+05B7+05BC,always,samekh with dagesh,⠐⠎⠉
סָּ,05E1+05B8+05BC,always,samekh dagesh with qamats,⠐⠎⠣
סֱּ,05E1+05B1+05BC,always,samekh dagesh with hataf segol,⠐⠎⠢
סֲּ,05E1+05B2+05BC,always,samekh dagesh with hataf patah,⠐⠎⠒
סֳּ,05E1+05B3+05BC,always,samekh dagesh with hataf qamats,⠐⠎⠮
קֳּ,05E7+05B3+05BC,always,qof dagesh  hataf qamats,⠐⠟⠜
קֲּ,05E7+05B2+05BC,always,qof dagesh  hataf patah,⠐⠟⠒
עִּ,05E2+05B4+05BC,always,ayin dagesh with hiriq,⠐⠫⠊
עֵּ,05E2+05B5+05BC,always,ayin with dagesh,⠐⠫⠌
רֱּ,05E8+05B1+05BC,always,resh dagesh with hataf segol,⠐⠗⠢
עַּ,05E2+05B7+05BC,always,ayin with dagesh,⠐⠫⠉
רֳּ,05E8+05B3+05BC,always,resh dagesh with hataf qamats,⠐⠗⠜
צִּ,05E6+05B4+05BC,always,Tsadi dagesh with hiriq,⠐⠮⠊
דַּ,05D3+05B7+05BC,always,dalet with dagesh,⠐⠙⠉
תִּ,05EA+05B4+05BC,always,tav  dagesh with hiriq,⠳⠊
נָּ,05E0+05B8+05BC,always,nun dagesh with qamats,⠐⠝⠣
עֶּ,05E2+05B6+05BC,always,ayin with dagesh,⠐⠫⠑
נֶּ,05E0+05B6+05BC,always,nun with dagesh,⠐⠝⠑
צַּ,05E6+05B7+05BC,always,tsadi with dagesh,⠐⠮⠉
פָּ,05E4+05B8+05BC,always,pe dagesh with qamats,⠏⠣
נֵּ,05E0+05B5+05BC,always,nun with dagesh,⠐⠝⠌
פֱּ,05E4+05B1+05BC,always,pe dagesh with hataf segol,⠏⠢
פֳּ,05E4+05B3+05BC,always,pe dagesh with hataf qamats,⠏⠜
קֵּ,05E7+05B5+05BC,always,qof with dagesh,⠐⠟⠌
קִּ,05E7+05B4+05BC,always,qof  dagesh with hiriq,⠐⠟⠊
צֳּ,05E6+05B3+05BC,always,resh dagesh with hataf qamats,⠐⠗⠮
צֲּ,05E6+05B2+05BC,always,tsadi dagesh with hataf patah,⠐⠮⠒
צֱּ,05E6+05B1+05BC,always,tsadi dagesh with hataf segol,⠐⠮⠢
צָּ,05E6+05B8+05BC,always,tsadi dagesh with qamats,⠐⠮⠣
פֲּ,05E4+05B2+05BC,always,pe dagesh with hataf patah,⠏⠒
צֶּ,05E6+05B6+05BC,always,tsadi with dagesh,⠐⠮⠑
רָּ,05E8+05B8+05BC,always,Resh dagesh with qamats,⠐⠗⠣
נִּ,05E0+05B4+05BC,always,nun  dagesh with hiriq,⠐⠝⠊
צֵּ,05E6+05B5+05BC,always,tsadi with dagesh,⠐⠮⠌
רֶּ,05E8+05B6+05BC,always,Resh with dagesh,⠐⠗⠑
רַּ,05E8+05B7+05BC,always,resh with dagesh,⠐⠗⠉
עָּ,05E2+05B8+05BC,always,ayin dagesh with qamats,⠐⠫⠣
עֱּ,05E2+05B1+05BC,always,ayin dagesh with hataf segol,⠐⠫⠢
עֲּ,05E2+05B2+05BC,always,ayin dagesh with hataf patah,⠐⠫⠒
עֳּ,05E2+05B3+05BC,always,ayin dagesh with hataf qamats,⠐⠫⠮
ץ),05E5+0029,nofor always,final tsadi with  right parenthesis,⠮⠐⠜
ץ?,05E5+003F,nofor always,final tsadi with  question,⠮⠰⠦
ץ!,05E5+0021,nofor always,final tsadi with  exclamation,⠮⠖
"ץ,",05E5+002C,nofor always,final tsadi with  comma,⠮⠂
ץ.,05E5+002E,nofor always,final tsadi with  period,⠮⠲
הּ,05D4+05BC,letter,hey with dagesh,⠐⠓
פּ,05E4+05BC,always,pe with dagesh,⠏
ף־,05E3+05BE,nofor always,final Pe with Mediq,⠋⠤
ןְ,05DF+05B0,nofor always,final Nun with sheva,⠝
ף ,05E3+0020,nofor always,final Pe with  space,⠋ 
ףְ,05E3+05B0,nofor always,final Pe with furtive patah,⠋⠉
"ף""",05E3+0022,nofor always,final Pe with quote,⠋⠠⠶
בּ,05D1+05BC,always,bet with dagesh,⠃
ן”,05DF+201D,nofor always,final Nun with right quote,⠝⠴
זּ,05D6+05BC,letter,zayin with dagesh,⠐⠵
בּ,05D1+05BC,always,bet with dagesh,⠃
"ץ""",05E5+0022,nofor always,final tsadi with quote,⠮⠠⠶
טּ,05D8+05BC,letter,tet with dagesh,⠐⠞
ץ”,05E5+201D,nofor always,final tsadi with right quote,⠮⠴
סּ,05E1+05BC,letter,samekh,⠐⠎
ץְ,05E5+05B0,nofor always,final tsadi with sheva,⠮⠄
ץ ,05E5+0020,nofor always,final tsadi with space,⠮ 
כּ,05DB+05BC,always,kaf with dagesh,⠅
יּ,05D9+05BC,always,Yod with dagesh,⠐⠚
"ף,",05E3+002C,nofor always,final Pe with  comma,⠋⠂
ף.,05E3+002E,nofor always,final Pe with  period,⠋⠲
ִי,05B4+05D9,always,hiriq-yod,⠔
יִ,005D9+5B4,always,hiriq-yod,⠔
וֹ,05D5+05B9,always,holam-vav,⠕
וּ,05D5+05BC,always,shuruq,⠥
ף!,05E3+0021,nofor always,final Pe with  exclamation,⠋⠖
ּו,05BC+05D5,always,shuruq,⠥
נּ,05E0+05BC,always,nun with dagesh,⠐⠝
ן־,05DF+05BE,nofor always,final Nun with Mediq,⠝⠤
ן ,05DF+0020,nofor always,final Nun with  space,⠝ 
ֵי,05B5+05D9,always,tsere-yod*,⠼
ף?,05E3+003F,nofor always,final Pe with  question,⠋⠰⠦
ף),05E3+0029,nofor always,final Pe with  right parenthesis,⠋⠐⠜
ף”,05E3+201D,nofor always,final Pe with right quote,⠋⠴
כּ,05DB+05BC,always,kaf dagesh  hataf patah,⠅⠒
אּ,05D0+05BC,letter,alef with dagesh,⠐⠁
ך־,05DA+05BE,nofor always,final kaf with  Mediq,⠡⠤
ם ,05DD+0020,nofor always,final Mem with  space,⠍ 
"ם""",05DD+0022,nofor always,final Mem with quote,⠍⠠⠶
ם”,05DD+201D,nofor always,final Mem with right quote,⠍⠴
ם),05DD+0029,nofor always,final Mem with  right parenthesis,⠍⠐⠜
ם?,05DD+003F,nofor always,final Mem with  question,⠍⠰⠦
ם!,05DD+0021,nofor always,final Mem with  exclamation,⠍⠖
"ם,",05DD+002C,nofor always,final Mem with  comma,⠍⠂
גּ,05D2+05BC,letter,gimel with dagesh,⠐⠛
"ן""",05DF+0022,nofor always,final Nun with quote,⠝⠠⠶
צּ,05E6+05BC,letter,tsadi with dagesh,⠐⠮
שׁ,05E9+05C1,always,shin with dot,⠩
רּ,05E8+05BC,always,Resh with dagesh,⠐⠗
בְּ,FB31+05B0,always,Bet with dagesh sheva,⠃⠄
כְּ,FB3B+05B0,always,KAF with dagesh  sheva,⠅⠄
קּ,05E7+05BC,always,qof with dagesh,⠐⠟
תּ,05EA+05BC,always,tav with dagesh,⠳
שׂ,05E9+05C2,always,sin,⠱
ך ,05DA+0020,final kaf with  space,⠡ ,
םְ,05DD+05B0,nofor always,final Mem with sheva ,⠍⠄
תְּ,FB4A+05B0,always,tav with daggesh sheva,⠳⠄
ם־,05DD+05BE,nofor always,final Mem with  Mediq,⠍⠤
"ך""",05DA+0022,nofor always,final kaf with quote,⠡⠠⠶
לּ,05DC+05BC,always,lamed with dagesh,⠐⠇
דּ,05D3+05BC,always,dalet with dagesh,⠐⠙
ךְ,05DA+05B0,nofor always,final kaf with sheva,⠡⠄
ך”,05DA+201D,nofor always,final kaf with right quote,⠡⠴
ך),05DA+0029,nofor always,final kaf with  right parenthesis,⠡⠐⠜
ך?,05DA+003F,nofor always,final kaf with  question,⠡⠰⠦
"ך,",05DA+002C,nofor always,final kaf with comma,⠡⠂
ך.,05DA+002E,nofor always,final kaf with  period,⠡⠲
ך!,05DA+0021,nofor always,final kaf with exclamation,⠡⠖
ץ־,05E5+05BE,nofor alwsays,final tsadi with Mediq,⠮⠤
ן),05DF+0029,nofor always,final Nun with  right parenthesis,⠝⠐⠜
ן.,05DF+002E,nofor always,final Nun with  period,⠝⠲
ן!,05DF+0021,nofor always,final Nun with  exclamation,⠝⠖
ן?,05DF+003F,nofor always,final Nun with  question,⠝⠰⠦
"ן,",05DF+002C,nofor always,final Nun with  comma,⠝⠂
ם.,05DD+002E,nofor always,final Mem with  period,⠍⠲
חּ,05D7+05BC,letter,het with dagesh,⠐⠭
מ,05DE,letter,mem,⠍
ע,05E2,letter,ayin,⠫
ע,05E2,letter,ayin with dagesh,⠐⠫
ק,05E7,letter,qof,⠟
ר,05E8,letter,resh,⠗
ס,05E1,letter,samekh with dagesh,⠎
נ,05E0,letter,nun,⠝
ֱ,05B1,letter,hataf segol,⠢
ן,05DF,letter,noback  final nun,⠝
ה,05D4,letter,hey,⠓
ז,05D6,letter,zayin,⠵
ם,05DD,noback letter,final mem,⠍
כ,05DB,letter,kaf,⠡
כּ,FB3B,always,KAF with dagesh ,⠅
ך,05DA,noback letter,final kaf,⠡
י,05D9,always,Yod with dagesh,⠚
ט,05D8,letter,tet,⠞
ח,05D7,letter,het,⠭
ו,05D5,letter,vav,⠺
פ,05E4,letter,Pe,⠋
ף,05E3,letter,noback  final pe,⠋
ב,05D1,letter,bet,⠧
ץ,05E5,letter,noback  final tsadi,⠮
ש,05E9,letter,Shin,⠩
ג,05D2,letter,gimel,⠛
בּ,FB31,always,Bet with dagesh,⠃
צ,05E6,letter,tsadi,⠮
א,05D0,letter,alef,⠁
ת,05EA,always,tav,⠹
תּ,FB4A,always,tav with daggesh,⠳
ּ,05BC,letter,dagesh,⠐
ֻ,05BB,letter,qubuts*,⠬
ֹ,05B9,letter,holam Malay,⠕
ָ,05B8,letter,qamats*,⠣
ַ,05B7,letter,patah*,⠉
ֶ,05B6,letter,segol*,⠑
ֵ,05B5,letter,tsere*,⠌
ִ,05B4,letter,hiriq*,⠊
ֳ,05B3,letter,hataf qamats*,⠜
ֲ,05B2,letter,hataf patah,⠒
ֺ,05BA,letter,holam haser,⠪
ל,05DC,letter,lamed,⠇
ד,05D3,letter,dalet,⠙
ְ,05B0,letter,sheva,⠄
